# Program:featureCounts v1.4.6-p3; Command:"subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "2" "-a" "annotation.gff" "-o" "counts_all_illumina.txt" "SRR10379721.bam" "SRR10379722.bam" "SRR10379724.bam" "SRR10379725.bam" "SRR10379726.bam" "SSR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379721.bam	SRR10379722.bam	SRR10379724.bam	SRR10379725.bam	SRR10379726.bam	SSR10379723.bam
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	4202	3717	3478	4314	2013	3012
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	40	31	33	51	6	38
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	753	581	455	635	68	581
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	1965	1403	1005	1112	140	1598
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	782	540	268	223	33	618
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	1883	1314	805	977	73	1546
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	144	91	316	521	72	154
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	422	325	491	707	34	391
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	728	423	497	946	50	502
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	2760	1817	2405	3242	332	2104
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	1498	923	938	1305	113	1216
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	458	232	510	725	195	256
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	187	108	91	144	19	143
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	252	175	192	364	29	235
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	404	295	261	412	42	326
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	677	424	395	538	55	500
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	3651	2830	4950	7006	754	2396
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	695	592	793	933	282	446
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	1080	773	1271	1991	416	675
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	2061	1593	2336	2025	798	2005
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	2426	1611	2753	3423	887	1499
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	233	106	106	109	14	142
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	282	170	255	268	27	225
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	433	326	1736	2054	308	308
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	5430	3871	6121	7625	2185	3800
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	2396	2395	9036	5106	882	1628
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	417	285	970	1074	50	369
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	4273	4440	11140	13500	1670	2480
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	698	483	328	456	181	389
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	907	553	733	885	56	537
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	431	247	102	95	18	219
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	597	337	194	162	77	297
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	1287	698	456	450	96	614
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	783	417	280	265	143	431
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	1309	740	497	509	93	620
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	1614	964	674	688	193	870
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	783	475	334	422	169	425
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	1343	718	535	770	168	720
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	892	524	397	542	156	547
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	97	46	31	73	6	66
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	157	87	214	252	20	83
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	179	127	401	425	60	141
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	5205	4905	9304	17985	10214	2325
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	8	5	3	4	0	9
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	174	105	66	52	6	127
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	146	108	53	30	11	125
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	337	200	84	100	12	217
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	300	202	129	139	13	236
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	1305	879	1146	1802	145	927
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	4172	2564	1322	1313	342	2910
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	70910	60047	38295	58665	15909	47473
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	2514	2083	1585	1840	300	1827
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	16	8	12	22	5	13
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	5243	5311	1127	2192	312	3258
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	11263	12370	3347	5452	351	8062
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	15023	15076	6116	8552	3777	11252
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	19167	21778	12716	16546	6264	12736
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	565	428	292	256	70	329
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	420	296	184	191	27	239
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	624	441	287	291	37	401
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	533	349	300	285	28	332
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	1345	960	772	937	298	907
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	2232	1814	1836	2375	532	1590
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	24	14	5	19	0	14
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	132	56	48	57	3	88
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	87	47	48	81	5	59
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	22	19	59	37	60	20
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	301	208	373	614	55	225
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	3077	1934	8778	21602	5753	1928
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	1436	1572	6073	11210	1019	1040
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	1838	2062	7007	12968	2257	1264
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	2188	2538	6890	15496	2341	1515
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	4551	5361	11080	23300	8766	2847
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	2519	2869	5625	13735	4285	1707
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	2832	3064	5325	14237	2415	1794
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	2794	3189	5805	14362	5602	1849
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	1245	1237	2637	6821	1692	820
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	1893	1852	4184	10913	1366	1185
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	1285	1205	3010	7719	2229	819
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	861	737	2173	5644	725	679
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	2715	2739	4507	14905	4662	1716
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	1282	1280	2123	8246	3304	860
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	2625	2515	4039	10914	1820	1704
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	3895	3747	5370	17675	5627	2340
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	4367	4038	5613	15454	5475	2844
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	1129	934	605	914	63	750
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	814	674	516	783	42	551
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	12912	13800	22219	33400	3107	4773
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	972	832	1615	1792	185	657
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	139	149	251	322	15	89
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	1526	856	274	337	114	967
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	559	319	118	109	17	334
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	825	505	167	195	69	531
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	641	423	90	109	22	377
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	1556	937	1087	1864	294	978
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	32049	19880	5679	5403	287	20453
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	2284	1955	431	437	114	1442
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	11837	6210	2139	2603	349	7048
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	134101	77560	60108	68464	14103	76936
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	20753	12222	7502	7475	1048	11752
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	4057	2278	3830	3568	2007	3389
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	3110	1688	464	521	64	2776
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	3684	2103	554	679	160	3298
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	1176	631	269	330	50	899
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	1981	1179	533	677	155	1527
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	2326	1655	6792	7606	355	1736
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	1719	1372	898	868	328	887
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	3333	2786	1561	3090	455	1606
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	38	26	10	9	0	22
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	6074	3847	12943	12962	3509	3881
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	3276	3947	6903	16989	1778	2183
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	2110	2828	2498	8081	2491	1502
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	3655	4633	3426	9306	2968	2461
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	2758	3160	1828	3777	387	1789
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	115	54	123	276	10	67
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	3347	2687	4582	5832	667	2093
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	1253	1037	3116	4839	250	784
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	1228	1137	2704	3158	290	721
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	1756	1589	2862	5045	487	1167
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	3925	2484	671	779	205	2786
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	1666	1252	359	350	43	1313
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	984	711	161	179	35	760
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	1756	1150	339	514	99	1377
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	5241	4513	1057	1222	301	4256
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	2723	2146	453	433	24	2283
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	41082	24837	1113	1488	86	35322
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	3068	3437	1760	2426	492	1869
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	549	420	300	415	79	351
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	1061	899	249	353	72	752
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	1307	1233	325	528	110	922
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	924	919	231	296	33	669
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	1732	1754	384	563	227	1273
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	1721	1755	436	584	185	1248
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	2195	2145	599	609	128	1533
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	678	441	877	985	44	470
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	3416	4767	2315	1434	600	3728
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	553	308	548	607	99	417
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	880	529	944	1434	157	591
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	552	347	743	860	120	370
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	12519	10027	116231	174948	49197	7168
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	5521	4091	39213	70635	26722	3008
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	140	88	209	486	46	90
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	1406	895	1621	2188	204	978
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	4090	3292	4812	4521	96	2200
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	6188	9565	6000	3034	299	5373
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	260	410	330	198	2	301
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	397	566	119	171	34	327
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	3129	5647	842	1837	496	2109
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	4084	8467	1734	5416	576	2702
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	1924	5252	1823	5282	871	1231
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	3408	8153	7394	14217	1265	1951
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	4259	9314	23791	38375	4536	2327
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	1100	615	903	1262	170	734
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	2661	1358	1444	1708	151	1955
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	382	219	494	670	105	245
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	212	106	524	788	108	129
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	2257	1444	6141	11262	1033	1230
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	56	35	28	44	3	45
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	14647	13927	132326	251465	57681	10757
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	16	17	35	13	6	13
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	1933	1514	1811	1279	640	1228
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	444	311	491	608	289	278
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	6	2	0	0	0	3
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	724	414	422	419	32	399
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	142	74	31	25	4	89
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	72	51	26	23	2	60
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	671	389	231	212	33	395
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	725	425	272	299	77	415
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	40	27	18	13	6	35
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	1249	689	518	539	192	689
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	996	949	2509	3834	1234	563
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	1346	1150	3086	3520	445	785
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	161	125	279	686	74	89
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	2906	2199	4731	6531	1134	1900
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	2226	1780	1731	2662	349	1222
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	2959	2363	3115	3366	525	1964
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	6708	5132	6585	9415	1345	4857
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	15145	11419	12835	20284	2370	11887
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	33172	26105	21483	32513	6676	27145
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	925	582	1654	3852	510	597
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	1209	969	5297	7434	1089	805
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	312	185	599	1014	75	178
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	187	229	371	2348	180	150
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	966	1045	1086	4959	1700	592
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	1390	1051	802	1018	67	929
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	821	453	165	284	19	443
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	1260	892	249	366	106	792
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	695	500	295	340	28	425
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	39	12	13	13	2	28
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	2707	2371	1895	3652	952	1359
gene-SAOUHSC_00240	CP000253.1	260850	261254	-	405	1157	1010	785	1727	139	648
gene-SAOUHSC_00241	CP000253.1	261269	262150	-	882	2563	2200	1566	1871	903	1373
gene-SAOUHSC_00242	CP000253.1	262382	263380	-	999	1754	1365	1960	2271	594	1098
gene-SAOUHSC_00243	CP000253.1	263531	263710	+	180	217	71	66	44	0	152
gene-SAOUHSC_00244	CP000253.1	263760	264152	+	393	954	562	317	411	16	876
gene-SAOUHSC_00245	CP000253.1	264380	264784	+	405	682	526	396	420	51	395
gene-SAOUHSC_00246	CP000253.1	264825	266201	-	1377	3007	2635	1803	1596	201	1734
gene-SAOUHSC_00247	CP000253.1	266435	267427	+	993	1125	786	657	901	138	701
gene-SAOUHSC_00248	CP000253.1	267753	268703	+	951	1832	1586	1172	1671	752	1271
gene-SAOUHSC_00249	CP000253.1	268755	269414	-	660	518	317	298	337	27	336
gene-SAOUHSC_00250	CP000253.1	269428	270348	-	921	458	275	295	345	15	337
gene-SAOUHSC_00251	CP000253.1	270345	271511	-	1167	587	296	270	292	28	344
gene-SAOUHSC_00253	CP000253.1	271579	273102	-	1524	1923	1087	671	695	33	1529
gene-SAOUHSC_00254	CP000253.1	273373	274026	+	654	106	71	86	66	4	90
gene-SAOUHSC_00255	CP000253.1	274060	274647	+	588	481	251	194	207	22	342
gene-SAOUHSC_00256	CP000253.1	274790	275683	-	894	1849	1318	1021	1224	416	1348
gene-SAOUHSC_00257	CP000253.1	275931	276224	+	294	4105	3782	2318	3008	1722	2616
gene-SAOUHSC_00258	CP000253.1	276308	279337	+	3030	3940	2957	1159	1195	93	2830
gene-SAOUHSC_00259	CP000253.1	279337	279795	+	459	664	381	142	123	7	515
gene-SAOUHSC_00260	CP000253.1	279728	280009	+	282	34	24	27	18	0	38
gene-SAOUHSC_00261	CP000253.1	280022	281356	+	1335	393	204	155	157	7	231
gene-SAOUHSC_00262	CP000253.1	281378	285817	+	4440	2108	1246	918	879	133	1302
gene-SAOUHSC_00264	CP000253.1	285847	286239	+	393	146	78	122	156	16	104
gene-SAOUHSC_00265	CP000253.1	286255	286569	+	315	162	108	91	75	56	82
gene-SAOUHSC_00266	CP000253.1	286569	287243	+	675	233	138	111	140	17	167
gene-SAOUHSC_00267	CP000253.1	287243	287560	+	318	115	88	66	70	21	77
gene-SAOUHSC_00268	CP000253.1	287570	289414	+	1845	2435	1827	2928	4248	1450	1681
gene-SAOUHSC_00269	CP000253.1	289425	289916	+	492	1451	957	3418	5177	503	1032
gene-SAOUHSC_00270	CP000253.1	290124	290807	+	684	420	294	713	1019	85	341
gene-SAOUHSC_00271	CP000253.1	290954	291565	+	612	251	161	398	622	35	148
gene-SAOUHSC_00272	CP000253.1	291701	291919	+	219	1345	612	472	272	21	893
gene-SAOUHSC_00274	CP000253.1	292051	292551	+	501	91	57	83	79	12	66
gene-SAOUHSC_00275	CP000253.1	292421	293062	+	642	166	145	188	354	30	137
gene-SAOUHSC_00276	CP000253.1	293073	293573	+	501	167	126	162	352	21	112
gene-SAOUHSC_00277	CP000253.1	293584	294084	+	501	127	99	143	298	41	82
gene-SAOUHSC_00278	CP000253.1	294095	294583	+	489	165	74	134	199	25	90
gene-SAOUHSC_00279	CP000253.1	295206	295580	+	375	1931	1266	607	774	52	1623
gene-SAOUHSC_00280	CP000253.1	295733	296131	+	399	2677	1579	914	1083	207	2100
gene-SAOUHSC_00281	CP000253.1	296347	297171	-	825	783	617	2571	5262	927	617
gene-SAOUHSC_00282	CP000253.1	297408	298685	-	1278	9872	6542	12584	13612	1731	4308
gene-SAOUHSC_00284	CP000253.1	299299	300189	+	891	650	365	358	439	46	411
gene-SAOUHSC_A00283	CP000253.1	300206	300439	-	234	16	7	5	5	0	8
gene-SAOUHSC_00285	CP000253.1	300438	301487	+	1050	3831	4548	7258	10193	1276	3105
gene-SAOUHSC_00287	CP000253.1	301500	302177	+	678	3896	4091	7007	10377	2826	2872
gene-SAOUHSC_00289	CP000253.1	302336	302476	-	141	12	7	1	5	0	10
gene-SAOUHSC_00290	CP000253.1	302466	303416	+	951	4499	3359	3998	6164	1211	3421
gene-SAOUHSC_00291	CP000253.1	303759	304877	+	1119	370	280	487	1099	107	206
gene-SAOUHSC_00292	CP000253.1	304852	305775	+	924	493	372	563	1286	233	303
gene-SAOUHSC_00293	CP000253.1	305786	307006	+	1221	986	601	777	1227	151	547
gene-SAOUHSC_00294	CP000253.1	307111	308643	-	1533	3802	3831	1790	1302	228	2498
gene-SAOUHSC_00295	CP000253.1	308683	309564	-	882	2028	2399	1622	1203	192	1413
gene-SAOUHSC_00296	CP000253.1	309722	310582	+	861	1245	1116	1066	1788	519	890
gene-SAOUHSC_00297	CP000253.1	310860	311660	-	801	2298	1791	2897	4128	822	1439
gene-SAOUHSC_00298	CP000253.1	311800	312468	+	669	2725	2327	1054	1260	276	1826
gene-SAOUHSC_00299	CP000253.1	312595	313908	-	1314	659	460	490	885	65	427
gene-SAOUHSC_00300	CP000253.1	314326	316398	+	2073	72129	62255	44537	60419	23535	51582
gene-SAOUHSC_00301	CP000253.1	316640	317467	-	828	1641	1123	1951	2210	363	1041
gene-SAOUHSC_00302	CP000253.1	317540	318739	-	1200	1278	809	1541	1915	426	826
gene-SAOUHSC_00303	CP000253.1	318835	318927	+	93	84	44	40	75	5	50
gene-SAOUHSC_00304	CP000253.1	319041	320042	+	1002	739	461	474	584	116	397
gene-SAOUHSC_00305	CP000253.1	320136	320408	+	273	252	181	145	239	37	150
gene-SAOUHSC_00306	CP000253.1	320409	321209	+	801	618	440	386	423	78	359
gene-SAOUHSC_00307	CP000253.1	321199	322143	+	945	690	445	414	551	135	354
