# Program:featureCounts v1.4.6-p3; Command:"../subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-s" "1" "-T" "2" "-a" "../annotation.gff" "-o" "counts_final.txt" "SRR10379721.bam" "SRR10379722.bam" "SRR10379724.bam" "SRR10379725.bam" "SRR10379726.bam" "SSR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379721.bam	SRR10379722.bam	SRR10379724.bam	SRR10379725.bam	SRR10379726.bam	SSR10379723.bam
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	9425	7780	6815	8107	2075	7245
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	2402	1432	1278	1035	364	1562
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	1632	1134	1004	1377	657	1207
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	375	230	62	49	16	342
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	1258	1128	1244	2107	677	865
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	2	3	2	0	3	3
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	5	7	53	104	13	16
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	1275	941	2319	3893	293	964
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	28298	17955	1788	2001	312	29572
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	49	27	18	35	18	124
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	14004	9309	1358	1039	138	15986
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	3599	2717	306	292	15	3218
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	24560	16320	941	383	36	25357
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	46593	32565	2023	1098	272	48266
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	45072	29419	8509	8129	3302	42501
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	223	171	174	132	14	124
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	2861	2450	3144	4108	1974	1871
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	18	15	20	40	6	16
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	639	510	407	561	57	493
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	340	214	385	497	42	248
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	168	91	97	130	24	95
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	1848	1290	728	907	58	1513
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	93	61	235	438	63	113
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	391	303	457	679	27	338
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	555	321	438	882	42	383
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	2479	1662	2351	3196	328	1884
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	1459	896	926	1292	111	1188
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	363	170	454	662	194	193
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	164	91	83	143	17	117
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	235	166	189	362	29	217
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	380	284	258	409	42	299
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	531	346	305	447	38	408
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	2728	2166	3358	5006	463	1841
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	537	494	755	910	279	366
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	930	660	1184	1877	400	597
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	1741	1373	2097	1761	757	1814
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	1796	1221	1657	2397	716	1188
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	78	26	18	20	3	47
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	134	84	214	237	26	98
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	346	280	1664	1991	306	256
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	5245	3790	6029	7506	2159	3723
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	2131	2247	8915	5056	876	1483
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	358	260	951	1052	50	304
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	4147	4381	11088	13447	1664	2427
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	547	384	253	382	130	307
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	771	474	673	848	48	444
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	283	162	69	53	17	127
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	405	237	166	151	77	191
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	891	486	394	413	92	418
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	603	300	235	225	130	295
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	883	529	371	383	80	393
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	1248	726	568	603	183	655
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	632	371	304	397	167	358
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	1149	640	506	761	167	618
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	1286	711	541	807	201	768
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	11	6	0	2	0	4
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	71	55	199	240	16	49
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	112	90	387	405	57	92
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	5115	4850	9281	17971	10209	2269
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	3	4	2	4	0	6
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	81	46	45	32	3	63
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	48	38	35	22	11	41
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	114	70	22	37	7	73
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	103	53	46	63	4	73
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	1106	765	1067	1702	137	826
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	4023	2425	1208	1224	338	2816
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	70651	59870	38076	58506	15886	47331
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	1888	1345	1240	1334	249	1411
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	83	48	24	9	3	48
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	6007	6168	1283	2827	344	3690
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	11014	12207	3293	5411	350	7924
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	14936	15026	6100	8538	3776	11206
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	19073	21720	12681	16510	6259	12674
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	310	169	127	78	24	166
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	174	90	60	67	4	111
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	196	113	56	68	8	128
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	261	138	85	73	5	145
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	1113	822	726	911	293	777
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	2039	1670	1608	2236	465	1453
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	18	11	3	18	0	11
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	64	18	42	47	3	33
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	86	46	47	81	5	59
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	17	11	52	31	40	15
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	288	199	372	613	55	221
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	2253	1449	8552	21352	5722	1340
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	1354	1520	6041	11178	1017	982
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	1668	1952	6867	12800	2244	1136
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	2041	2455	6838	15409	2339	1424
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	4230	5141	11010	23249	8761	2632
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	2321	2746	5498	13638	4277	1587
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	2526	2911	5273	14204	2413	1612
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	2547	3035	5765	14330	5601	1700
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	1135	1164	2601	6786	1689	746
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	1743	1758	4085	10770	1358	1076
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	1162	1126	2869	7627	2215	740
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	777	695	2138	5601	725	613
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	2582	2665	4482	14876	4660	1645
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	1214	1240	2085	8214	3293	824
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	2451	2405	3979	10865	1819	1589
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	3676	3582	5304	17604	5615	2214
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	4217	3888	5565	15407	5463	2755
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	1112	920	592	881	56	738
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	780	640	486	736	38	534
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	12571	13569	22156	33329	3095	4557
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	655	561	1364	1569	174	384
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	36	32	111	63	10	16
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	1477	839	263	334	114	946
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	377	197	31	40	10	219
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	582	333	83	117	58	345
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	467	267	69	97	17	258
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	1328	786	1021	1825	290	836
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	31948	19817	5649	5388	287	20394
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	1819	1660	268	243	84	1169
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	11495	5968	1911	2337	316	6820
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	132838	76752	59653	68035	14061	76118
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	20683	12190	7414	7409	1046	11708
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	3853	2148	3674	3444	1956	3228
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	3018	1607	400	475	55	2699
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	3218	1800	423	595	148	3023
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	862	463	151	216	37	732
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	1023	615	152	287	41	966
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	2100	1527	6674	7490	348	1602
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	1614	1323	864	842	325	832
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	2748	2460	1412	2956	424	1262
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	43	24	14	5	0	25
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	5501	3488	13064	13086	3480	3548
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	3154	3876	6882	16975	1775	2084
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	1936	2718	2482	8067	2490	1400
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	3423	4489	3393	9271	2960	2306
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	2619	3055	1776	3739	384	1702
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	94	39	83	146	9	48
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	2830	2390	4386	5677	659	1770
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	1198	1018	3092	4803	249	742
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	1165	1092	2662	3141	289	673
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	1700	1543	2850	5035	484	1106
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	3909	2466	631	762	198	2791
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	176	122	66	67	15	98
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	209	119	90	108	27	128
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	788	373	291	484	92	431
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	1205	673	723	1008	269	669
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	2620	2109	419	397	24	2214
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	41008	24803	1098	1469	86	35289
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	2945	3355	1736	2407	489	1791
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	295	251	238	364	76	178
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	773	729	140	256	60	543
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	936	954	166	334	81	696
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	751	787	190	243	31	553
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	1437	1541	324	532	221	1056
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	1454	1503	343	472	169	1041
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	1927	1968	526	560	119	1329
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	664	429	870	974	43	461
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	3296	4664	2282	1402	591	3631
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	501	280	518	585	94	389
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	725	454	821	1337	142	479
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	332	203	645	751	108	219
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	12060	9740	115873	174690	49124	6920
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	5460	4054	39178	70598	26721	2979
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	67	45	169	433	45	37
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	1257	809	1507	2059	199	871
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	4046	3277	4803	4509	96	2171
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	5652	8980	5795	2845	287	5001
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	28	35	16	13	0	18
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	379	551	112	168	34	316
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	2894	5457	789	1803	487	1965
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	3675	8224	1636	5369	568	2430
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	1656	5110	1764	5228	859	1107
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	3034	7949	7279	14141	1250	1752
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	3885	9122	23673	38287	4513	2061
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	980	552	887	1255	167	647
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	2498	1250	1259	1481	140	1866
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	99	45	232	388	72	29
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	144	70	458	735	101	72
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	1718	1089	5708	10659	997	870
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	55	34	28	42	3	41
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	14465	13830	132233	251353	57670	10663
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	55	49	112	94	10	55
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	1873	1401	1500	941	564	997
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	291	193	424	542	280	195
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	3	2	0	0	0	0
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	261	181	130	135	20	162
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	88	46	22	21	3	47
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	59	45	21	23	2	49
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	391	244	164	160	24	234
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	531	316	243	264	74	307
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	30	19	15	12	6	17
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	989	549	439	467	176	535
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	893	889	2487	3803	1234	494
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	1421	1275	3474	4411	530	843
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	40	10	6	3	0	22
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	2779	2159	4934	6923	1166	1830
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	2045	1691	1672	2620	347	1140
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	2882	2322	3058	3296	522	1918
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	6520	5013	6413	9212	1305	4756
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	14988	11331	12789	20247	2366	11812
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	33046	26018	21430	32463	6675	27079
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	708	487	1601	3801	503	480
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	992	840	5246	7405	1083	662
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	210	130	553	975	70	118
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	127	193	339	2325	177	119
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	855	975	1055	4928	1696	531
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	1348	1042	790	994	64	913
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	633	367	122	244	17	355
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	1029	735	209	322	102	651
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	169	117	134	181	18	87
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	38	15	12	14	2	28
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	2470	2223	1819	3587	941	1237
gene-SAOUHSC_00240	CP000253.1	260850	261254	-	405	977	914	708	1677	129	544
gene-SAOUHSC_00241	CP000253.1	261269	262150	-	882	1987	1781	1413	1744	848	999
gene-SAOUHSC_00242	CP000253.1	262382	263380	-	999	890	812	1757	2153	554	589
gene-SAOUHSC_00243	CP000253.1	263531	263710	+	180	216	70	65	43	0	152
gene-SAOUHSC_00244	CP000253.1	263760	264152	+	393	946	555	310	409	16	867
gene-SAOUHSC_00245	CP000253.1	264380	264784	+	405	89	74	75	78	22	49
gene-SAOUHSC_00246	CP000253.1	264825	266201	-	1377	2559	2206	1543	1257	137	1388
gene-SAOUHSC_00247	CP000253.1	266435	267427	+	993	802	602	481	745	122	521
gene-SAOUHSC_00248	CP000253.1	267753	268703	+	951	1715	1530	1143	1644	747	1230
gene-SAOUHSC_00249	CP000253.1	268755	269414	-	660	473	293	271	312	24	316
gene-SAOUHSC_00250	CP000253.1	269428	270348	-	921	374	223	223	288	14	275
gene-SAOUHSC_00251	CP000253.1	270345	271511	-	1167	139	85	123	122	7	99
gene-SAOUHSC_00253	CP000253.1	271579	273102	-	1524	1878	1071	645	663	32	1497
gene-SAOUHSC_00254	CP000253.1	273373	274026	+	654	86	60	79	57	3	71
gene-SAOUHSC_00255	CP000253.1	274060	274647	+	588	458	239	178	196	22	332
gene-SAOUHSC_00256	CP000253.1	274790	275683	-	894	1752	1259	976	1199	412	1293
gene-SAOUHSC_00257	CP000253.1	275931	276224	+	294	4044	3755	2299	2993	1722	2591
gene-SAOUHSC_00258	CP000253.1	276308	279337	+	3030	3562	2723	999	1064	83	2586
gene-SAOUHSC_00259	CP000253.1	279337	279795	+	459	641	371	132	113	7	504
gene-SAOUHSC_00260	CP000253.1	279728	280009	+	282	12	12	6	7	0	11
gene-SAOUHSC_00261	CP000253.1	280022	281356	+	1335	214	115	101	124	5	136
gene-SAOUHSC_00262	CP000253.1	281378	285817	+	4440	1386	835	716	727	116	922
gene-SAOUHSC_00264	CP000253.1	285847	286239	+	393	104	57	68	79	11	71
gene-SAOUHSC_00265	CP000253.1	286255	286569	+	315	128	82	88	68	55	66
gene-SAOUHSC_00266	CP000253.1	286569	287243	+	675	206	110	104	131	16	133
gene-SAOUHSC_00267	CP000253.1	287243	287560	+	318	91	65	60	70	21	61
gene-SAOUHSC_00268	CP000253.1	287570	289414	+	1845	2169	1657	2879	4227	1448	1504
gene-SAOUHSC_00269	CP000253.1	289425	289916	+	492	1389	927	3383	5160	502	996
gene-SAOUHSC_00270	CP000253.1	290124	290807	+	684	174	109	294	452	50	134
gene-SAOUHSC_00271	CP000253.1	290954	291565	+	612	126	67	208	353	29	54
gene-SAOUHSC_00272	CP000253.1	291701	291919	+	219	1332	607	472	272	21	876
gene-SAOUHSC_00274	CP000253.1	292051	292551	+	501	65	39	66	73	11	38
gene-SAOUHSC_00275	CP000253.1	292421	293062	+	642	135	121	176	336	29	106
gene-SAOUHSC_00276	CP000253.1	293073	293573	+	501	140	113	149	335	21	103
gene-SAOUHSC_00277	CP000253.1	293584	294084	+	501	115	99	139	293	40	78
gene-SAOUHSC_00278	CP000253.1	294095	294583	+	489	150	60	132	194	25	75
gene-SAOUHSC_00279	CP000253.1	295206	295580	+	375	1926	1266	606	772	52	1620
gene-SAOUHSC_00280	CP000253.1	295733	296131	+	399	2645	1569	881	1028	199	2078
gene-SAOUHSC_00281	CP000253.1	296347	297171	-	825	661	508	2540	5209	925	505
gene-SAOUHSC_00282	CP000253.1	297408	298685	-	1278	9524	6251	12459	13473	1710	4084
gene-SAOUHSC_00284	CP000253.1	299299	300189	+	891	551	303	342	421	41	353
gene-SAOUHSC_A00283	CP000253.1	300206	300439	-	234	15	6	5	1	0	6
gene-SAOUHSC_00285	CP000253.1	300438	301487	+	1050	3844	4636	7478	10582	1281	3083
gene-SAOUHSC_00287	CP000253.1	301500	302177	+	678	3842	4051	6996	10358	2826	2842
gene-SAOUHSC_00289	CP000253.1	302336	302476	-	141	11	11	2	1	0	8
gene-SAOUHSC_00290	CP000253.1	302466	303416	+	951	4399	3303	4010	6279	1206	3358
gene-SAOUHSC_00291	CP000253.1	303759	304877	+	1119	218	179	427	1066	100	109
gene-SAOUHSC_00292	CP000253.1	304852	305775	+	924	402	317	541	1270	231	250
gene-SAOUHSC_00293	CP000253.1	305786	307006	+	1221	897	544	749	1207	150	495
gene-SAOUHSC_00294	CP000253.1	307111	308643	-	1533	3641	3753	1731	1197	206	2413
gene-SAOUHSC_00295	CP000253.1	308683	309564	-	882	1841	2314	1538	1113	192	1336
gene-SAOUHSC_00296	CP000253.1	309722	310582	+	861	1155	1062	1041	1773	517	837
gene-SAOUHSC_00297	CP000253.1	310860	311660	-	801	1295	952	2292	3415	682	678
gene-SAOUHSC_00298	CP000253.1	311800	312468	+	669	2639	2282	1039	1239	276	1774
gene-SAOUHSC_00299	CP000253.1	312595	313908	-	1314	469	302	423	859	59	286
gene-SAOUHSC_00300	CP000253.1	314326	316398	+	2073	71572	61904	44259	60166	23473	51283
gene-SAOUHSC_00301	CP000253.1	316640	317467	-	828	1376	912	1491	1783	307	888
gene-SAOUHSC_00302	CP000253.1	317540	318739	-	1200	877	508	1087	1462	272	601
gene-SAOUHSC_00303	CP000253.1	318835	318927	+	93	45	24	38	68	5	31
gene-SAOUHSC_00304	CP000253.1	319041	320042	+	1002	463	309	424	538	111	230
gene-SAOUHSC_00305	CP000253.1	320136	320408	+	273	186	141	140	232	37	111
gene-SAOUHSC_00306	CP000253.1	320409	321209	+	801	465	354	362	407	76	256
gene-SAOUHSC_00307	CP000253.1	321199	322143	+	945	584	401	387	533	135	284
gene-SAOUHSC_00308	CP000253.1	322121	323143	+	1023	760	504	447	747	170	429
